,y,six_cycle_mp_num,six_cycle_mp_avg_amt,epp_nbr_12m,epp_avg_amt_12m,alop_nbr_12m,alop_avg_amt_12m,six_bill_low_repay_num,consume_amt_session,consume_num_session
2485,0.0,0.0,0.0,1.0,147.72,0.0,0.0,1.0,5700.0,3.0
2486,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1.0,0.0,0.0
2487,0.0,0.0,0.0,0.0,0.0,2.0,8166.67,0.0,5000.0,1.0
2488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2052.4,39.0
2489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292.4,34.0
2490,0.0,2.0,2725.215,1.0,311.2,0.0,0.0,0.0,4096.0,2.0
2491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110234.52,139.0
2492,0.0,1.0,1879.82,1.0,156.65,1.0,83.33,3.0,140.9,4.0
2493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3960.0,1.0
2494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39999.0,5.0
